Player,RND,KPR,APR,FKPR,KMAX
"penny
G2",21,0.71,0.10,0.14,15
"Teerapong
NKT",65,0.97,0.26,0.18,24
"taka
SGZ",24,0.79,0.67,0.13,19
"ScrewFace
VLYN",21,0.71,0.52,0.10,15
"gatorada
SG",20,0.90,0.50,0.05,18
"Ali
the",23,0.78,0.13,0.22,18
"Mel
MIBR",70,0.69,0.29,0.06,21
"BENECIA
SLT",44,0.55,0.50,0.07,13
"mgS
Real",24,1.00,0.13,0.13,24
"rubkkoide
9z",70,0.71,0.37,0.10,22
"Blahst
ZMM.B",45,0.71,0.31,0.04,17
Jman,24,0.88,0.13,0.08,21
"cacan
FB",22,0.82,0.18,0.18,18
"Apl
TORN",22,0.86,0.23,0.18,19
"TenZ
SEN",91,0.74,0.41,0.16,21
"Blessed
FOC",43,0.79,0.30,0.28,22
"Druff
IU",18,0.72,0.61,0.00,13
nicky,22,1.09,0.18,0.09,24
"natty
CAL.S",18,1.06,0.22,0.22,19
seyq,21,0.81,0.48,0.05,17
Dizzy,19,0.89,0.11,0.16,17
"Rossy
T1",68,0.74,0.25,0.09,19
"Sato
GLRS",69,0.83,0.14,0.28,20
"Jinggg
PRX",45,0.80,0.22,0.09,21
"kivary
OXEN",44,0.95,0.16,0.27,21
"Nidxvilco
MDK",69,0.67,0.35,0.13,18
"Mikael
ARF",45,0.64,0.42,0.04,17
"DaFt
VIC",47,0.98,0.23,0.11,26
"JoJo
FA",19,0.84,0.42,0.11,16
"Kuro
UNT",26,0.73,0.50,0.19,19
"YaBoiLewis
FKS",87,0.92,0.28,0.18,22
"purp0
GX",18,0.72,0.28,0.17,13
"Andrehs
AKV.GC",18,0.94,0.22,0.06,17
"Leo
FNC",18,0.72,0.39,0.06,13
"Laz
NKT",65,0.74,0.25,0.09,23
"Ssun
MARU",22,0.82,0.23,0.18,18
"Zellsis
SEN",91,0.69,0.47,0.03,21
"Demiurge
MZP",44,0.70,0.36,0.18,17
"Newzera
DVM",18,0.67,0.44,0.11,12
"damaraa
THE",45,0.89,0.11,0.24,23
"adrnking
GRY",106,0.84,0.28,0.14,19
"SecondLove
APH",75,0.87,0.21,0.12,33
"sickrey
R8",89,0.76,0.42,0.10,23
"Ivan4ezz
AXL",26,0.69,0.35,0.12,18
"Drone
MAD",24,0.92,0.17,0.17,22
"starxo
KOI",24,0.58,0.67,0.13,14
"w0zzip
FF",54,0.67,0.24,0.11,20
"SyKo
PUG",75,0.81,0.33,0.07,23
"bstrdd
TL",30,0.87,0.13,0.10,26
"BRIAN
RC",34,0.85,0.21,0.26,29
"brk
SAW",43,0.88,0.33,0.21,24
"NeskaaS
VMS",39,0.67,0.36,0.10,14
"Kevzii
ZOL",59,0.90,0.36,0.12,18
"mmonch
AKV.GC",18,0.78,0.33,0.06,14
"nAts
TL",20,0.90,0.20,0.10,18
"gin
FCY",40,0.83,0.30,0.25,19
"Nexi
NAOS",56,0.70,0.23,0.04,15
cohs,17,1.06,0.00,0.24,18
lover,18,0.83,0.28,0.11,15
"klaudia
O1O",26,0.92,0.62,0.08,24
"LeVi
MLT",61,0.66,0.25,0.10,17
"mizu
9z",70,0.79,0.21,0.10,28
"antonio
Sila",18,0.67,0.61,0.00,12
"DARK
MEC",22,0.82,0.14,0.23,18
"JonahP
G2",22,0.50,0.73,0.09,11
"Luwucia
BSCT",22,0.73,0.05,0.05,16
"ACHRF
OXR",24,0.83,0.25,0.08,20
"mimi
G2.G",61,0.69,0.21,0.03,17
"Enjoy
IU",18,0.67,0.56,0.17,12
"something
PRX",90,0.81,0.14,0.13,20
ric,20,0.70,0.20,0.05,14
"Oderus
MxS",69,0.67,0.38,0.14,21
"didii
MDK",69,0.62,0.57,0.07,21
"ting2k5
FPT",80,0.85,0.13,0.13,28
"cNed
FUT",24,0.71,0.46,0.04,17
"KIMCHI
UT",22,0.86,0.36,0.05,19
"inq
DLR",23,0.74,0.35,0.22,17
"L4CE
FLY.R",24,0.88,0.42,0.04,21
"Polkan
IluZ",23,0.70,0.61,0.04,16
"AKUMAAAAA
MDR",16,0.88,0.31,0.06,14
"budimeisteR
BME",19,0.63,0.84,0.05,12
"Haru
Equi",21,1.00,0.05,0.24,21
