Player,RND,KPR,APR,FKPR,KMAX
"Paincakes
TWT",70,0.76,0.16,0.11,31
bunnycrepe,22,0.77,0.05,0.05,17
"t3xture
GEN",77,0.84,0.08,0.16,21
"Scarlett
GMX.L",34,0.71,0.12,0.15,24
"bryce
DSG",80,0.56,0.31,0.06,15
"Scottie
UCF.B",24,0.71,0.25,0.08,17
"blu
ZIK",50,0.72,0.20,0.10,21
"SyouTa
FL",88,0.82,0.13,0.16,26
"romily
KRÜ.B",22,0.68,0.23,0.05,15
"VenTT
HOWL",47,0.81,0.34,0.09,24
"A1mly
UG",128,0.80,0.20,0.11,32
"SyKo
PUG",40,0.75,0.15,0.13,18
"ZachKappa
CHCH",108,0.62,0.31,0.06,23
"Acerola
LAZY",18,0.61,0.22,0.11,11
wiggles,17,0.88,0.24,0.00,15
"xccurate
T1",22,0.68,0.27,0.00,15
"Ssun
MARU",39,0.72,0.18,0.23,18
"Andersin
BTR",18,0.72,0.22,0.17,13
souhm,14,1.00,0.00,0.14,14
"saadhak
LOUD",68,0.66,0.54,0.12,19
"GLYPH
MR",38,0.66,0.34,0.18,13
"brawk
MxS",18,0.61,0.17,0.00,11
"Famouz
BME",34,0.74,0.09,0.24,25
"ref
Mas",50,0.84,0.08,0.20,24
"ExiT
Twis",141,0.72,0.16,0.11,28
"TajReX
LDS",19,0.79,0.21,0.21,15
mist,22,0.73,0.09,0.14,16
"mishu
WHO",38,0.53,0.61,0.11,20
"Polkan
IluZ",22,0.50,0.95,0.09,11
"Teague
TACO",21,0.52,0.52,0.05,11
"MicroBrilk
MorJ",23,0.87,0.17,0.17,20
"SHINSEI
KZ",21,0.81,0.10,0.14,17
"PatMen
ZOL",61,0.82,0.23,0.11,20
"Daveeski
PMT",23,0.70,0.35,0.04,16
"NeskaaS
VMS",43,0.79,0.14,0.14,20
"Kongi
NXT",23,0.65,0.26,0.09,15
"Derrek
EG",22,0.73,0.00,0.05,16
"Prestige
86th",17,0.65,0.41,0.00,11
"Bing Chilling
TAMU",24,0.75,0.29,0.08,18
"Estrella
RRQ",23,0.65,0.35,0.09,15
"Xdll
FL",88,0.70,0.22,0.10,25
"esmonde
KZ",40,0.63,0.40,0.03,14
"HearthBeat
MZP",23,0.65,0.26,0.17,15
"AKUMAAAAA
MDR",20,0.80,0.40,0.05,16
"Tura
FSX",52,0.77,0.17,0.08,23
"Bob
SAD",19,0.74,0.21,0.11,14
"parker
LR",17,0.59,0.35,0.06,10
"Owen q t
GLAB",43,0.81,0.16,0.14,24
"matrix
KC.GC",108,0.80,0.16,0.19,26
"rubkkoide
9z",60,0.62,0.28,0.03,15
"sawamura
RRQ.K",24,0.71,0.25,0.17,17
"ZachaREEE
CB",28,0.71,0.11,0.14,20
"vAgue
UNT",59,0.95,0.05,0.24,26
"JustnatioNN
UNT",59,0.61,0.31,0.10,18
"Sayaplayer
T1",22,0.91,0.14,0.23,20
"SSeeS
DFM",22,0.32,0.55,0.05,7
"LoyDreaM
GLAB",40,0.73,0.28,0.15,20
"Zimo
Twis",141,0.60,0.35,0.04,23
"MaiShiu
FOC",23,0.61,0.30,0.13,14
Rereiana,17,0.76,0.18,0.00,13
"GatsH
CASE",21,0.67,0.14,0.05,14
"Kiles
CASE",21,0.67,0.24,0.10,14
"Benkai
GE",26,0.69,0.19,0.00,18
"Karina
FKS.S",23,0.65,0.09,0.09,15
"cauanzin
LOUD",68,0.66,0.35,0.04,19
Biju,28,0.64,0.29,0.04,18
"August
HOG",23,0.70,0.13,0.09,16
"miNt
FL.GC",17,0.88,0.24,0.18,15
"frantastic
FIRE",43,0.60,0.37,0.14,21
"runneR
VIT",42,0.69,0.36,0.19,15
"JessieVash
TS",45,0.80,0.18,0.07,22
"SUYGETSU
NAVI",17,0.76,0.06,0.00,13
"smiley
VLYN",23,0.65,0.70,0.00,15
"Jini
HEIZ",65,0.54,0.38,0.06,16
"GianSanity
1MS",24,0.67,0.29,0.21,16
"bless
Erit",45,0.78,0.18,0.09,19
"tomaszy
KC",37,0.62,0.19,0.05,12
"robz
AMZ",17,0.65,0.24,0.18,11
"zerona
ZMM.B",39,0.82,0.18,0.15,20
"lurzy0y0
GAL",21,0.48,0.19,0.14,10
"vii
CARA",50,0.68,0.14,0.20,17
"ChAlalala
AAA",18,0.89,0.11,0.06,16
"RvK
RGES",28,0.82,0.11,0.14,23
"Louitan
OVA",23,0.52,0.30,0.09,12
"Yuno
VENI",20,0.85,0.15,0.25,17
"Kohliii
GRY",24,0.63,0.38,0.00,15
"paTiTek
TH",39,0.51,0.64,0.05,11
"xann
SNG",40,0.80,0.25,0.23,22
"meleliita
LEV.GC",17,0.82,0.18,0.12,14
Mami,18,0.78,0.28,0.06,14
"nzr
FUR",41,0.61,0.27,0.02,15
"Huso
FH",39,0.69,0.21,0.13,14
"theozy
CAOS.GC",50,0.70,0.36,0.16,21
"Precision
TG",28,0.71,0.14,0.04,20
"Kssar
VIS",70,0.70,0.19,0.23,24
"bld
Trop",91,0.67,0.21,0.10,20
"skz
LGCY",60,0.65,0.35,0.13,19
"Br0die
ACE",41,0.61,0.32,0.15,14
"AvovA
APK",19,0.42,0.32,0.00,8
"canefis
OVA",23,0.78,0.22,0.09,18
"ikyoo
FKS.S",23,0.78,0.13,0.22,18
"RizoN
UG",128,0.74,0.15,0.12,34
"grubinho
KOI",17,0.53,0.24,0.06,9
Frosty,20,0.70,0.10,0.05,14
"Titan
UG",60,0.70,0.13,0.10,27
"ceNder
VIT",42,0.64,0.38,0.02,17
"Miyamura
GHR",18,0.78,0.11,0.06,14
