Player,RND,KPR,APR,FKPR,KMAX
"Obnoks
MOUZ",42,0.69,0.40,0.07,16
"Fair
Six",22,0.95,0.14,0.18,21
"Sunset
Curs",26,0.73,0.35,0.12,19
"AtaKaptan
FUT",38,0.74,0.42,0.16,14
"Zimo
Twis",106,0.73,0.29,0.10,19
"mimi
G2.G",92,0.73,0.46,0.11,25
"Kohliii
GRY",48,0.73,0.42,0.04,22
"Suki
UW.GC",41,0.71,0.22,0.05,17
"zekken
SEN",190,0.89,0.29,0.18,29
"snikk
Z10",23,0.65,0.48,0.09,15
Nasty,44,0.89,0.07,0.18,25
"kamyk
JL",54,0.76,0.37,0.06,22
"Klaus
KRÜ",21,0.71,0.29,0.19,15
"c4Lypso
VLYN",21,0.62,0.43,0.05,13
"raafa
HERO",103,0.76,0.32,0.06,25
"isaa
TL",22,0.64,0.27,0.18,14
Benderr,18,0.94,0.33,0.28,17
"miwa
SNX.F",30,0.77,0.47,0.00,23
"FallX
GLAB",45,1.00,0.27,0.13,29
"Nawaf
DRGN",43,0.86,0.23,0.23,19
"lz
2G",86,0.63,0.34,0.06,16
"Depyro
GMX",124,0.83,0.35,0.10,24
"Crewen
HOWL",24,0.88,0.33,0.00,21
"gMd
TSM",40,0.93,0.23,0.20,19
"Nidxvilco
MDK",40,0.68,0.38,0.03,16
"VTaguT
ELV",26,0.73,0.35,0.00,19
"Jelly
MIBR",48,0.85,0.40,0.19,26
"zeddy
KPI",24,0.54,0.54,0.17,13
brock,52,0.81,0.23,0.15,25
"phi
xyz",23,0.70,0.43,0.04,16
"adrnking
GRY",48,0.71,0.38,0.06,20
"doma
VLTG",46,0.89,0.22,0.11,22
"Marved
NRG",53,0.75,0.30,0.08,15
"DisisJohn
FKS",62,0.74,0.19,0.23,19
"payne
ASTA",14,0.57,0.86,0.07,8
"shelbyN
EBG",70,0.69,0.21,0.10,16
"silenttt
ELV",26,0.73,0.19,0.12,19
"lukxo
GLRS",45,0.69,0.36,0.09,16
"silentzz
2G",86,0.88,0.20,0.24,22
"Zap
2G",86,0.73,0.36,0.10,21
"Ali
the",42,0.62,0.14,0.05,16
"Dior
4RL.H",17,0.88,0.41,0.00,15
"Monyet
PRX",81,0.84,0.40,0.12,24
Noor,66,0.73,0.36,0.08,18
"ardiis
NAVI",65,0.72,0.35,0.06,19
"Aphun
SNS",65,0.66,0.46,0.14,15
"Mojo
BRU",24,0.50,0.67,0.00,12
"madison
Irre",68,0.90,0.31,0.10,27
"DEATHMAKER
TRS",114,0.87,0.20,0.23,29
KIMB0,24,0.79,0.21,0.04,19
"Meteor
GEN",142,0.87,0.11,0.20,22
"mityu
CGST",28,0.75,0.29,0.07,21
"4Gruch
INCO",45,0.73,0.11,0.20,19
"Saiz
BAR",45,0.71,0.20,0.18,16
"ZesBeeW
END",48,0.71,0.23,0.04,22
"Glance
KC.GC",45,0.60,0.51,0.02,14
"glovee
GAL",56,0.73,0.29,0.13,21
"Urango
GLRS",45,0.98,0.18,0.13,24
"Sunday
LFG",109,0.66,0.44,0.04,16
"miNt
FL.GC",20,0.80,0.20,0.15,16
"Myth
FOC",118,0.62,0.39,0.07,21
Answerz,23,0.91,0.22,0.30,21
"Cain
Torc",36,0.75,0.36,0.00,14
"ritsu
Gala",17,0.88,0.12,0.06,15
"b3ta
AAA",23,0.78,0.39,0.09,18
John Ham,18,0.61,0.78,0.00,11
"Kamiyu
XIP",22,0.82,0.23,0.05,18
"renz
WU",44,0.73,0.23,0.09,18
PokeChamp,22,0.82,0.32,0.09,18
"bee
CTRL",19,1.11,0.16,0.16,21
"oonzmlp
MARU",23,0.83,0.17,0.04,19
"BONCE
PDF",46,0.89,0.24,0.09,22
"shirazi
XIP",22,0.59,0.41,0.18,13
"Zauqk
BOBO",88,0.85,0.25,0.09,29
"ESUH
ANTC",24,0.67,0.58,0.00,16
"xelouz
UNT",117,0.64,0.40,0.02,15
"Vivii
UW.GC",41,0.73,0.29,0.15,18
"VuexLex
MNC",19,0.89,0.11,0.00,17
"mizu
9z",78,0.91,0.12,0.12,24
"SimonD4rk
R8",108,0.79,0.19,0.08,24
"ion2x
TOR",42,0.86,0.12,0.31,22
"Jesmu
OF",65,0.77,0.45,0.05,22
"Fizzy
MOUZ",42,0.90,0.26,0.10,22
"neT
G2",50,0.68,0.26,0.18,19
"Moves
LFG",109,0.73,0.35,0.12,19
"pannyx
BMG",19,0.74,0.53,0.00,14
"Truth
BPC",20,0.85,0.00,0.15,17
"million
BB",50,0.68,0.28,0.08,22
"SkRossi
RVNT",44,0.57,0.52,0.05,13
"Techno
TRS",114,0.66,0.40,0.07,20
"Bonobo
FOC",118,0.75,0.16,0.19,22
SupahTyTy,20,0.85,0.40,0.00,17
"Spocki
Bloo",64,0.70,0.27,0.08,21
idkman,26,0.96,0.27,0.15,25
"mikeE
BC",38,0.82,0.16,0.03,19
"bang
100T",40,0.65,0.45,0.10,14
"Faska
EQZ",21,0.86,0.24,0.19,18
Noir,52,0.65,0.38,0.10,18
"sociablEE
FF",80,0.76,0.30,0.10,28
"Emman
NAOS",108,0.65,0.35,0.05,17
"RvK
RGES",23,0.83,0.26,0.22,19
"reshi
FIRE",36,0.72,0.31,0.08,13
"Winteryrook
R8",108,0.72,0.31,0.12,28
"Yuna
UW.GC",41,0.76,0.20,0.10,16
"Cinjvv
MGLZ",22,0.77,0.18,0.18,17
"Excali
MDL",38,0.61,0.32,0.11,13
Asetic,16,0.75,0.38,0.06,12
nicksz,70,0.64,0.27,0.07,14
"Petra
G2.G",92,0.67,0.35,0.05,24
"Absol
MRSH",50,0.88,0.34,0.14,24
"dzii
LESS",57,0.72,0.18,0.07,18
"Juja
IL",19,0.63,0.32,0.05,12
braydo,20,0.75,0.20,0.20,15
"sh1va
IW",24,0.75,0.21,0.13,18
"Andersin
BTR",36,0.67,0.44,0.14,13
"Nanners
ZMM.B",94,0.74,0.19,0.09,23
"vizsla
FOC",118,0.71,0.26,0.08,36
"AloNeFillz
AAA",23,0.65,0.39,0.09,15
"Jinboong
SG",42,0.83,0.36,0.17,19
"P4ND4
6K",43,0.67,0.40,0.07,17
"seven
TSM",40,0.85,0.23,0.10,19
"Luj
FLCV",108,0.63,0.39,0.04,19
"Closer
FG",71,0.61,0.39,0.04,15
"OniBy
AKR",26,0.58,0.35,0.12,15
"azys
MLT",21,1.05,0.19,0.10,22
"DESTRUCT1VEE
GAL",56,0.64,0.20,0.11,20
"MAGiK
JL",54,0.74,0.43,0.11,24
"AlexaIsHot
KS",17,1.00,0.18,0.00,17
"Huga
Even",19,0.68,0.32,0.11,13
"klaudia
O1O",64,0.61,0.55,0.05,15
Mais,22,0.82,0.18,0.14,18
"m0skey
BPX",20,0.70,0.70,0.15,14
"Felix
SK",62,0.77,0.21,0.10,25
"Titan
UG",45,0.71,0.22,0.11,19
"murii
SK",62,0.71,0.31,0.06,21
"Nelo
KC.GC",45,0.76,0.20,0.11,19
"Reta
FLCV",23,0.78,0.30,0.04,18
"Vital
Six",22,0.91,0.27,0.18,20
"Matrixx
FKS",62,0.65,0.52,0.11,20
"pAura
BBL",42,0.57,0.38,0.02,13
"Shondex
Fish",57,0.70,0.28,0.12,19
Dasani,44,0.73,0.16,0.20,18
Shinobu,44,0.80,0.14,0.05,18
"trent
G2",71,0.70,0.32,0.10,22
"jademwah
NB",112,0.79,0.27,0.18,21
"eeiu
100T",40,0.63,0.18,0.08,15
"biazik
KRÜ.B",17,1.00,0.18,0.18,17
"Dantedeu5
AK",118,0.75,0.21,0.14,20
"Reita
MRSH",50,0.78,0.58,0.08,21
"DubsteP
OAS",43,0.70,0.26,0.16,15
"Haydez
USF",17,0.82,0.12,0.00,14
"Klamran
AWAK",22,0.82,0.18,0.05,18
"Rags2Riches
KTS",52,0.63,0.37,0.10,20
"PROFEK
GN",55,0.64,0.35,0.02,19
"Hotaru
LEV.GC",23,0.70,0.43,0.13,16
"Aryu
TRS",114,0.69,0.14,0.08,20
"Ash
LFG",109,0.81,0.19,0.23,22
"RxYaL
ONLI",70,0.81,0.20,0.09,20
"mmonch
AKV.GC",59,0.59,0.37,0.10,14
"Br0die
ACE",79,0.65,0.46,0.10,22
"Munchkin
GEN",142,0.54,0.45,0.04,18
"SUYGETSU
NAVI",65,0.72,0.25,0.06,16
"adelano
UG",67,0.72,0.40,0.10,23
"swagzor
Orac",22,0.91,0.18,0.23,20
"satellite
VLYN",21,0.71,0.19,0.24,15
"sickrey
R8",108,0.59,0.40,0.06,21
"Dane
Suic",106,0.74,0.42,0.04,23
"mclamlam
LT",18,0.94,0.11,0.22,17
"Owen q t
GLAB",45,0.80,0.31,0.07,19
