Player,RND,KPR,APR,FKPR,KMAX
"Yoshiii
SZ",47,0.85,0.11,0.17,22
"Felipa
BBL.Q",83,0.65,0.48,0.06,17
"rDeeW
JJH",19,0.68,0.21,0.21,13
"KP
RF.GC",21,0.67,0.57,0.05,14
"psy
MDL",42,0.69,0.31,0.17,15
"Spaz
TACO",212,0.63,0.51,0.07,18
"Hanuh
THE.K",26,0.88,0.27,0.12,23
"Jesse
VLNT",82,0.66,0.29,0.05,16
"baddyG
ACE",19,0.84,0.05,0.21,16
"tub
DVT",28,0.89,0.11,0.04,25
"Phardon
FMG",56,0.84,0.27,0.18,29
"tex
LEV",37,0.57,0.32,0.14,12
"snikk
Z10",19,0.63,0.42,0.00,12
"Slaxx
FUZO",16,0.81,0.19,0.13,13
"Kuripuuya
KC.GC",83,0.78,0.34,0.16,22
