,,RND,KPR,APR,FKPR,KMAX
RND,lotus_stats,84,0.68,0.20,0.06,23
RND,split_stats,21,0.86,0.14,0.14,18
RND,sunset_stats,147,0.69,0.23,0.15,23
MOLSI,ascent_stats,31,0.68,0.58,0.06,13
MOLSI,bind_stats,22,0.41,0.68,0.05,9
MOLSI,breeze_stats,19,0.58,0.47,0.11,11
MOLSI,icebox_stats,58,0.90,0.26,0.07,24
MOLSI,lotus_stats,62,0.65,0.42,0.08,18
MOLSI,sunset_stats,95,0.82,0.34,0.08,20
tisba,ascent_stats,23,1.09,0.52,0.13,25
tisba,split_stats,22,0.36,0.36,0.05,8
Noor,ascent_stats,18,0.56,0.28,0.06,10
Noor,bind_stats,42,0.76,0.33,0.10,17
Noor,breeze_stats,24,0.33,0.33,0.00,8
Noor,icebox_stats,19,0.42,0.42,0.11,8
Noor,lotus_stats,78,0.63,0.26,0.12,21
Noor,split_stats,20,0.70,0.40,0.15,14
Noor,sunset_stats,18,0.39,0.50,0.17,7
maple,ascent_stats,23,1.17,0.22,0.22,27
maple,lotus_stats,28,0.54,0.14,0.14,15
maple,sunset_stats,24,0.33,0.42,0.04,8
patitop,ascent_stats,22,1.05,0.18,0.27,23
patitop,bind_stats,19,0.63,0.05,0.11,12
patitop,lotus_stats,23,0.74,0.17,0.00,17
patitop,split_stats,16,0.75,0.25,0.19,12
patitop,sunset_stats,23,1.17,0.04,0.04,27
Vania,ascent_stats,58,0.86,0.38,0.17,20
Vania,bind_stats,61,0.92,0.26,0.05,25
Vania,breeze_stats,81,0.81,0.23,0.15,20
Vania,icebox_stats,135,0.88,0.30,0.09,31
Vania,lotus_stats,40,1.05,0.58,0.08,25
Vania,split_stats,92,0.92,0.39,0.08,25
Vania,sunset_stats,58,0.72,0.41,0.10,23
lz,ascent_stats,36,0.94,0.44,0.14,18
lz,bind_stats,20,1.00,0.40,0.30,20
lz,breeze_stats,24,0.50,0.04,0.08,12
lz,icebox_stats,47,0.79,0.19,0.11,19
lz,lotus_stats,74,0.59,0.23,0.08,16
lz,split_stats,86,0.63,0.34,0.06,16
lz,sunset_stats,52,0.52,0.27,0.02,13
mishu,ascent_stats,21,1.05,0.29,0.24,22
mishu,breeze_stats,38,0.53,0.61,0.11,20
mishu,icebox_stats,74,0.72,0.20,0.09,26
mishu,lotus_stats,57,0.72,0.37,0.09,21
zery,ascent_stats,71,0.96,0.28,0.23,27
zery,breeze_stats,23,0.74,0.43,0.09,17
zery,icebox_stats,107,0.73,0.17,0.10,24
zery,split_stats,64,0.64,0.30,0.16,17
zery,sunset_stats,42,0.76,0.19,0.26,27
grumble,ascent_stats,21,1.05,0.24,0.14,22
grumble,bind_stats,35,0.63,0.31,0.06,15
grumble,breeze_stats,82,0.80,0.35,0.09,19
grumble,lotus_stats,112,0.69,0.33,0.04,23
grumble,split_stats,57,0.74,0.42,0.07,22
grumble,sunset_stats,91,0.53,0.19,0.07,19
ChiaWei,ascent_stats,78,1.01,0.41,0.06,32
ChiaWei,breeze_stats,23,0.74,0.26,0.04,17
ChiaWei,icebox_stats,67,0.78,0.16,0.10,22
ChiaWei,lotus_stats,112,0.71,0.24,0.02,25
ChiaWei,split_stats,44,0.89,0.32,0.09,22
ChiaWei,sunset_stats,44,0.66,0.30,0.02,15
ri4d,ascent_stats,36,0.94,0.22,0.17,20
ri4d,breeze_stats,23,1.04,0.04,0.26,24
ri4d,icebox_stats,47,0.51,0.06,0.17,15
ri4d,lotus_stats,22,0.45,0.23,0.14,10
ri4d,sunset_stats,56,0.61,0.14,0.20,19
viness,ascent_stats,17,1.12,0.18,0.18,19
viness,bind_stats,80,0.51,0.36,0.05,15
viness,breeze_stats,34,0.65,0.15,0.15,15
viness,icebox_stats,61,0.87,0.23,0.16,24
viness,lotus_stats,21,0.86,0.38,0.05,18
viness,sunset_stats,17,0.76,0.94,0.06,13
Sacake,ascent_stats,42,0.88,0.33,0.14,25
Sacake,bind_stats,39,0.54,0.38,0.08,15
Sacake,breeze_stats,43,0.70,0.23,0.12,19
Sacake,lotus_stats,46,0.54,0.28,0.04,16
Sacake,sunset_stats,37,0.51,0.22,0.11,11
yay,ascent_stats,17,0.88,0.12,0.12,15
yay,bind_stats,20,0.75,0.05,0.20,15
yay,icebox_stats,37,0.70,0.08,0.24,14
yay,lotus_stats,59,0.59,0.19,0.17,20
yay,split_stats,20,0.80,0.15,0.20,16
L4CE,ascent_stats,78,0.86,0.36,0.08,19
L4CE,bind_stats,24,0.88,0.42,0.04,21
L4CE,icebox_stats,62,0.82,0.19,0.08,18
L4CE,lotus_stats,37,0.57,0.24,0.00,11
L4CE,split_stats,35,1.23,0.43,0.11,22
L4CE,sunset_stats,74,0.78,0.34,0.04,27
Riza,ascent_stats,83,1.00,0.36,0.10,30
Riza,breeze_stats,80,0.56,0.18,0.05,14
Riza,icebox_stats,23,1.00,0.13,0.09,23
Riza,lotus_stats,128,0.66,0.36,0.05,18
Riza,split_stats,20,0.55,0.45,0.05,11
Riza,sunset_stats,19,0.79,0.21,0.11,15
snw,ascent_stats,21,0.95,0.38,0.29,20
snw,breeze_stats,22,0.86,0.05,0.14,19
snw,icebox_stats,17,0.94,0.18,0.24,16
snw,lotus_stats,21,0.90,0.24,0.14,19
ZYND,ascent_stats,85,1.06,0.18,0.25,26
ZYND,bind_stats,59,0.69,0.25,0.10,18
ZYND,breeze_stats,61,0.77,0.21,0.16,20
ZYND,icebox_stats,67,0.64,0.10,0.13,17
ZYND,split_stats,71,0.49,0.28,0.07,13
ZYND,sunset_stats,20,0.55,0.40,0.15,11
Pa1ze,ascent_stats,20,1.00,0.35,0.35,20
Pa1ze,bind_stats,49,0.78,0.18,0.06,29
Pa1ze,breeze_stats,44,0.59,0.18,0.11,17
Pa1ze,icebox_stats,64,0.77,0.14,0.17,22
Pa1ze,lotus_stats,94,0.90,0.17,0.21,23
Pa1ze,sunset_stats,19,0.53,0.05,0.16,10
Paincakes,ascent_stats,38,0.92,0.39,0.18,21
Paincakes,bind_stats,50,0.62,0.34,0.06,17
Paincakes,breeze_stats,70,0.76,0.16,0.11,31
Paincakes,lotus_stats,64,0.45,0.45,0.05,13
Paincakes,sunset_stats,38,0.79,0.29,0.05,17
Exequies,ascent_stats,21,0.90,0.43,0.05,19
Exequies,breeze_stats,16,0.25,0.25,0.00,4
Exequies,icebox_stats,21,0.57,0.24,0.05,12
Exequies,lotus_stats,23,0.43,0.26,0.04,10
maripo,ascent_stats,19,0.95,0.26,0.05,18
maripo,breeze_stats,17,0.76,0.12,0.06,13
maripo,icebox_stats,23,0.96,0.22,0.04,22
maripo,lotus_stats,47,0.43,0.36,0.04,14
maripo,split_stats,20,0.40,0.60,0.05,8
XyuS,ascent_stats,78,1.00,0.10,0.21,23
XyuS,breeze_stats,23,0.65,0.13,0.04,15
XyuS,icebox_stats,67,0.75,0.10,0.12,20
XyuS,lotus_stats,112,0.68,0.08,0.18,22
XyuS,split_stats,44,0.91,0.09,0.18,23
XyuS,sunset_stats,44,1.07,0.11,0.27,27
Akame,ascent_stats,21,1.00,0.24,0.14,21
Akame,bind_stats,34,0.91,0.18,0.18,31
Akame,breeze_stats,60,1.00,0.23,0.18,39
Akame,icebox_stats,57,0.84,0.19,0.28,23
Akame,lotus_stats,95,0.73,0.18,0.17,25
Akame,sunset_stats,37,0.70,0.16,0.08,15
zini,ascent_stats,40,0.85,0.43,0.03,19
zini,breeze_stats,16,0.50,0.25,0.00,8
zini,icebox_stats,21,0.76,0.10,0.14,16
zini,lotus_stats,23,0.70,0.30,0.00,16
zini,sunset_stats,26,0.73,0.38,0.08,19
Zodiac,ascent_stats,19,0.95,0.47,0.11,18
Zodiac,breeze_stats,17,0.41,0.35,0.06,7
Zodiac,icebox_stats,23,0.83,0.13,0.17,19
Zodiac,lotus_stats,47,0.70,0.13,0.23,18
Zodiac,split_stats,20,0.90,0.25,0.35,18
kiNgg,ascent_stats,34,0.88,0.65,0.12,30
kiNgg,bind_stats,17,0.94,0.59,0.06,16
kiNgg,breeze_stats,19,0.58,0.79,0.05,11
kiNgg,icebox_stats,65,0.68,0.37,0.11,18
kiNgg,lotus_stats,58,0.78,0.21,0.12,28
kiNgg,sunset_stats,37,0.86,0.38,0.14,18
eXampL,ascent_stats,39,0.74,0.67,0.05,16
eXampL,bind_stats,61,0.54,0.34,0.03,17
eXampL,split_stats,22,0.77,0.18,0.14,17
h6tedthemost,ascent_stats,55,0.76,0.71,0.02,20
h6tedthemost,bind_stats,30,0.97,0.53,0.17,29
h6tedthemost,breeze_stats,34,0.68,0.32,0.09,23
h6tedthemost,icebox_stats,17,0.59,0.18,0.18,10
h6tedthemost,lotus_stats,44,0.73,0.25,0.05,17
h6tedthemost,split_stats,41,0.78,0.27,0.07,18
PatMen,ascent_stats,85,0.89,0.54,0.13,22
PatMen,bind_stats,59,0.80,0.34,0.19,19
PatMen,breeze_stats,61,0.82,0.23,0.11,20
PatMen,icebox_stats,67,0.91,0.22,0.16,23
PatMen,split_stats,71,1.13,0.23,0.27,30
PatMen,sunset_stats,20,0.90,0.35,0.25,18
Elab0rate,ascent_stats,59,1.00,0.19,0.07,25
Elab0rate,bind_stats,38,0.63,0.18,0.05,13
Elab0rate,icebox_stats,17,0.53,0.12,0.12,9
Elab0rate,lotus_stats,56,0.66,0.21,0.11,26
Elab0rate,sunset_stats,38,0.55,0.21,0.11,11
Ching,ascent_stats,19,0.89,0.58,0.11,17
Ching,bind_stats,24,0.79,0.58,0.04,19
Ching,icebox_stats,24,0.33,0.08,0.00,8
Ching,split_stats,42,0.64,0.19,0.05,19
Ching,sunset_stats,40,0.68,0.15,0.08,16
eeiu,ascent_stats,19,0.63,0.26,0.00,12
eeiu,bind_stats,42,0.83,0.19,0.07,18
eeiu,icebox_stats,23,0.48,0.22,0.04,11
eeiu,split_stats,40,0.63,0.18,0.08,15
jawgemo,ascent_stats,20,1.05,0.35,0.15,21
jawgemo,bind_stats,24,0.33,0.17,0.04,8
